Time,X,Y,Z,|V|,MAx,MAy,MAz,MAv
0,"-3,563,223","-8,675,007","2,931,882","9,825,896","-3,563","-8,675","2,932","9,826"
21,"-2,891,516","-9,345,661","2,466,622","10,088,928","-3,395","-8,843","2,816","9,892"
40,"-3,449,815","-8,623,387","2,616,106","9,649,251","-3,367","-8,830","2,737","9,847"
60,"-3,451,653","-8,847,734","2,545,084","9,832,282","-3,339","-8,873","2,640","9,849"
80,"-3,235,266","-9,097,698","2,559,574","9,989,318","-3,257","-8,979","2,547","9,890"
100,"-3,339,921","-9,030,508","2,755,937","10,015,006","-3,369","-8,900","2,619","9,871"
119,"-3,160,557","-9,122,100","2,554,891","9,986,456","-3,297","-9,025","2,604","9,956"
140,"-3,134,815","-9,111,144","1,991,851","9,839,079","-3,218","-9,090","2,466","9,957"
159,"-3,318,507","-8,942,488","1,786,103","9,704,161","-3,238","-9,052","2,272","9,886"
179,"-3,320,346","-8,910,789","1,824,966","9,682,838","-3,234","-9,022","2,039","9,803"
199,"-3,255,262","-8,994,882","2,050,596","9,783,127","-3,257","-8,990","1,913","9,752"
219,"-2,993,537","-9,037,020","1,988,270","9,725,338","-3,222","-8,971","1,912","9,724"
239,"-2,938,318","-9,007,437","1,526,783","9,596,806","-3,127","-8,988","1,848","9,697"
258,"-3,425,509","-8,605,852","1,117,872","9,329,761","-3,153","-8,911","1,671","9,609"
279,"-3,395,390","-8,585,273","1,391,807","9,336,633","-3,188","-8,809","1,506","9,497"
298,"-2,473,287","-9,187,145","1,701,367","9,665,166","-3,058","-8,846","1,434","9,482"
318,"-2,971,903","-9,192,863","1,807,756","9,828,984","-3,067","-8,893","1,505","9,540"
338,"-3,677,034","-9,110,474","2,373,401","10,107,144","-3,129","-9,019","1,819","9,734"
358,"-4,143,128","-9,046,558","148,709","9,951,273","-3,316","-9,134","1,508","9,888"
377,"-3,392,191","-8,412,555","2,171,474","9,327,022","-3,546","-8,941","1,625","9,804"
399,"-3,334,414","-8,657,309","2,102,138","9,512,428","-3,637","-8,807","1,699","9,724"
418,"-3,557,448","-9,538,901","2,136,117","10,402,359","-3,607","-8,914","1,640","9,798"
437,"-4,271,476","-9,234,647","3,525,644","10,768,212","-3,639","-8,961","2,484","10,003"
457,"-4,085,992","-9,392,587","2,825,292","10,625,361","-3,812","-9,206","2,647","10,327"
477,"-3,504,680","-9,282,474","1,874,804","10,097,623","-3,855","-9,362","2,590","10,473"
496,"-3,617,074","-8,942,669","504,286","9,659,651","-3,870","-9,213","2,183","10,288"
517,"-4,063,525","-8,808,765","860,131","9,738,912","-3,818","-9,107","1,516","10,030"
536,"-3,997,225","-8,873,878","1,606,347","9,864,273","-3,796","-8,977","1,211","9,840"
557,"-3,456,768","-9,127,741","2,349,574","10,039,192","-3,784","-8,938","1,330","9,826"
576,"-3,040,493","-9,457,048","2,779,802","10,315,409","-3,640","-9,067","1,899","9,989"
596,"-4,022,776","-9,047,334","2,998,537","10,345,443","-3,629","-9,126","2,434","10,141"
616,"-4,431,112","-8,544,408","2,438,801","9,929,220","-3,738","-9,044","2,642","10,157"
636,"-4,521,996","-8,433,230","1,662,447","9,712,443","-4,004","-8,871","2,470","10,076"
656,"-4,404,345","-8,555,220","1,406,402","9,724,608","-4,345","-8,645","2,127","9,928"
675,"-4,232,776","-8,804,581","1,428,955","9,873,143","-4,398","-8,584","1,734","9,810"
695,"-4,798,057","-8,801,957","1,426,235","10,125,707","-4,489","-8,649","1,481","9,859"
715,"-3,330,909","-9,196,646","1,828,279","9,950,671","-4,192","-8,840","1,522","9,919"
736,"-3,280,210","-9,165,990","1,366,237","9,830,653","-3,910","-8,992","1,512","9,945"
754,"-3,519,132","-8,931,904","1,293,549","9,686,923","-3,732","-9,024","1,479","9,898"
775,"-3,383,802","-8,813,957","1,487,326","9,557,620","-3,379","-9,027","1,494","9,756"
794,"-3,084,862","-9,132,740","1,334,337","9,731,586","-3,317","-9,011","1,370","9,702"
815,"-3,488,811","-9,036,531","1,683,967","9,831,910","-3,369","-8,979","1,450","9,702"
834,"-3,886,565","-8,585,512","1,507,801","9,544,102","-3,461","-8,892","1,503","9,666"
854,"-4,013,065","-8,824,587","1,027,189","9,748,494","-3,618","-8,895","1,388","9,714"
874,"-3,915,784","-8,883,676","899,779","9,750,008","-3,826","-8,833","1,280","9,719"
894,"-3,588,420","-9,396,858","1,724,773","10,205,515","-3,851","-8,923","1,290","9,812"
914,"-3,957,271","-9,209,393","-1,329,912","10,111,457","-3,869","-9,079",580,"9,954"
934,"-3,812,891","-9,680,687","2,916,396","10,805,517","-3,819","-9,293","1,053","10,218"
953,"-4,522,130","-9,207,209","1,187,773","10,326,333","-3,970","-9,374","1,125","10,362"
974,"-4,655,850","-9,092,737","1,256,918","10,292,456","-4,237","-9,298","1,008","10,384"
993,"-4,374,024","-9,189,397","1,625,098","10,306,214","-4,341","-9,293","1,747","10,433"
"1,013","-3,697,902","-9,275,654","1,820,072","10,150,118","-4,312","-9,191","1,472","10,269"
"1,035","-3,397,420","-8,990,343","1,308,153","9,699,485","-4,031","-9,137","1,503","10,112"
"1,053","-3,736,985","-8,574,078","1,139,391","9,422,212","-3,802","-9,007","1,473","9,895"
"1,073","-4,173,792","-8,171,707","278,723","9,180,143","-3,752","-8,753","1,137","9,613"
"1,092","-4,221,782","-8,219,534","94,571","9,240,840","-3,882","-8,489",705,"9,386"
"1,112","-4,226,379","-8,526,337","380,190","9,523,930","-4,090","-8,373",473,"9,342"
"1,135","-4,097,782","-8,746,737","681,466","9,683,059","-4,180","-8,416",359,"9,407"
"1,152","-3,997,082","-8,890,293","672,828","9,770,705","-4,136","-8,596",457,"9,555"
"1,172","-4,146,527","-8,987,709","331,166","9,903,650","-4,117","-8,788",516,"9,720"
"1,192","-4,430,709","-8,969,445","647,967","10,025,069","-4,168","-8,899",583,"9,846"
"1,211","-4,536,284","-8,845,953","210,958","9,943,503","-4,278","-8,923",466,"9,911"
"1,231","-4,249,421","-9,297,978","841,322","10,257,573","-4,341","-9,025",508,"10,032"
"1,251","-3,773,338","-9,467,593","939,964","10,235,084","-4,247","-9,145",660,"10,115"
"1,272","-3,400,916","-9,522,689","725,319","10,137,747","-3,990","-9,284",679,"10,143"
"1,291","-3,481,773","-9,338,096","819,181","9,999,691","-3,726","-9,407",831,"10,158"
"1,311","-3,775,780","-9,036,484","822,581","9,828,082","-3,608","-9,341",827,"10,050"
"1,331","-3,730,540","-9,059,257","876,967","9,836,470","-3,597","-9,239",811,"9,950"
"1,350","-3,643,802","-9,127,329","793,687","9,859,786","-3,658","-9,140",828,"9,881"
"1,371","-3,689,599","-9,104,757","513,642","9,837,356","-3,710","-9,082",752,"9,840"
"1,390","-3,849,139","-9,025,393","589,433","9,829,600","-3,728","-9,079",693,"9,841"
"1,410","-3,934,152","-8,848,960","619,284","9,703,874","-3,779","-9,027",629,"9,808"
"1,429","-3,896,621","-8,957,868","480,919","9,780,508","-3,842","-8,984",551,"9,788"
"1,450","-3,770,600","-8,904,677","504,123","9,683,225","-3,863","-8,934",548,"9,749"
"1,469","-3,763,532","-9,001,634","593,073","9,774,729","-3,841","-8,928",549,"9,736"
"1,489","-3,745,116","-9,059,257","708,703","9,828,442","-3,794","-8,981",572,"9,767"
"1,510","-4,019,338","-8,965,471","737,768","9,852,870","-3,825","-8,983",636,"9,785"
"1,529","-4,173,190","-8,940,073","708,636","9,891,541","-3,925","-8,992",687,"9,837"
"1,549","-4,002,310","-9,061,737","733,143","9,933,331","-3,985","-9,007",722,"9,877"
"1,569","-3,946,698","-9,015,290","460,913","9,852,123","-4,035","-8,996",660,"9,882"
"1,589","-3,782,848","-8,963,442","588,131","9,746,750","-3,976","-8,995",623,"9,856"
"1,608","-3,920,151","-8,955,291","828,145","9,810,741","-3,913","-8,999",653,"9,836"
"1,629","-3,910,564","-9,043,810","930,847","9,896,943","-3,890","-8,994",702,"9,827"
"1,648","-3,860,468","-9,101,625","956,915","9,932,698","-3,869","-9,016",826,"9,847"
"1,669","-3,942,771","-8,969,110","765,177","9,827,303","-3,908","-9,017",870,"9,867"
"1,688","-3,865,831","-8,834,681","719,525","9,670,261","-3,895","-8,987",843,"9,832"
"1,708","-3,840,376","-8,850,032","569,849","9,664,175","-3,877","-8,939",753,"9,774"
"1,728","-3,797,108","-8,992,536","645,927","9,782,686","-3,862","-8,912",675,"9,736"
"1,749","-3,902,529","-8,958,068","838,574","9,807,136","-3,851","-8,909",693,"9,731"
"1,767","-3,737,473","-9,120,597","768,137","9,886,558","-3,819","-8,980",706,"9,785"
"1,787","-3,834,199","-9,278,882","798,208","10,071,537","-3,818","-9,088",763,"9,887"
"1,807","-3,844,791","-9,169,965","728,603","9,970,032","-3,830","-9,132",783,"9,934"
"1,827","-3,829,928","-9,131,859","590,659","9,920,084","-3,812","-9,175",721,"9,962"
"1,850","-3,816,003","-8,930,095","654,374","9,733,277","-3,831","-9,128",693,"9,924"
"1,866","-3,840,692","-8,957,331","609,200","9,765,030","-3,833","-9,047",646,"9,847"
"1,887","-3,904,656","-8,866,160","725,721","9,715,030","-3,848","-8,971",645,"9,783"
"1,907","-4,253,615","-8,903,768","603,655","9,886,087","-3,954","-8,914",648,"9,775"
"1,926","-4,519,678","-8,639,362","345,579","9,756,305","-4,130","-8,842",571,"9,781"
"1,946","-4,578,049","-8,755,509","604,316","9,898,620","-4,314","-8,791",570,"9,814"
"1,966","-4,326,189","-8,991,616","878,691","10,016,844","-4,419","-8,823",608,"9,889"
"1,986","-3,856,427","-9,129,704","943,593","9,955,596","-4,320","-8,879",693,"9,907"
"2,006","-3,849,043","-8,999,727","861,328","9,826,094","-4,152","-8,969",822,"9,924"
"2,025","-4,121,015","-8,904,937","756,941","9,841,423","-4,038","-9,006",860,"9,910"
"2,046","-4,211,286","-8,846,020","751,904","9,826,106","-4,009","-8,970",828,"9,862"
"2,066","-4,037,275","-8,888,579","949,732","9,808,589","-4,055","-8,910",830,"9,826"
"2,086","-3,701,819","-9,059,209","962,670","9,833,589","-4,018","-8,925",855,"9,827"
"2,105","-3,706,626","-9,023,967","796,273","9,788,008","-3,914","-8,954",865,"9,814"
"2,125","-3,862,106","-8,964,141","642,211","9,781,826","-3,827","-8,984",838,"9,803"
"2,151","-4,201,958","-8,852,686","664,918","9,821,844","-3,868","-8,975",767,"9,806"
"2,166","-4,211,209","-8,893,866","931,862","9,884,508","-3,995","-8,934",759,"9,819"
"2,184","-4,044,487","-9,211,020","1,106,217","10,120,498","-4,080","-8,980",836,"9,902"
"2,204","-3,905,901","-9,181,572","1,284,499","10,060,182","-4,091","-9,035",997,"9,972"
"2,230","-3,927,535","-9,080,527","802,000","9,925,961","-4,022","-9,092","1,031","9,998"
"2,244","-3,915,420","-8,883,054","440,945","9,717,695","-3,948","-9,089",908,"9,956"
"2,264","-3,984,727","-8,718,017","190,224","9,587,390","-3,933","-8,966",679,"9,823"
"2,283","-4,117,568","-8,623,924","407,493","9,565,170","-3,986","-8,826",460,"9,699"
"2,309","-4,094,918","-8,895,015","623,220","9,812,137","-4,028","-8,780",415,"9,671"
"2,324","-4,036,030","-9,126,725","551,615","9,994,545","-4,058","-8,841",443,"9,740"
"2,343","-3,874,010","-9,291,657","823,624","10,100,555","-4,031","-8,984",601,"9,868"
"2,363","-4,104,150","-9,132,615","994,532","10,061,700","-4,027","-9,111",748,"9,992"
"2,390","-4,174,635","-9,031,198","881,277","9,988,331","-4,047","-9,146",813,"10,036"
"2,403","-4,094,593","-8,938,953","783,488","9,863,287","-4,062","-9,099",871,"10,003"
"2,423","-3,979,757","-8,932,681","879,974","9,818,636","-4,088","-9,009",885,"9,933"
"2,443","-3,980,408","-8,950,350","954,271","9,841,903","-4,057","-8,963",875,"9,878"
"2,462","-3,926,328","-8,868,430","974,775","9,747,579","-3,995","-8,923",898,"9,818"
"2,483","-4,177,863","-8,863,459","812,219","9,832,351","-4,016","-8,904",905,"9,810"
"2,502","-4,167,203","-8,953,233","952,155","9,921,319","-4,063","-8,909",923,"9,836"
"2,522","-4,162,205","-8,937,766","967,698","9,906,768","-4,108","-8,906",927,"9,852"
"2,543","-4,333,160","-8,799,467","818,242","9,842,582","-4,210","-8,888",888,"9,876"
"2,563","-4,591,897","-8,482,676","859,959","9,684,051","-4,314","-8,793",900,"9,839"
"2,581","-4,415,215","-8,579,487","882,646","9,689,210","-4,376","-8,700",882,"9,781"
"2,601","-4,120,651","-8,763,065","815,245","9,717,803","-4,365","-8,656",844,"9,733"
