Time,X,Y,Z,|V|,MAx,MAy,MAz,MAv
0,-3563223,-8675007,2931882,9825896,-3563,-8675,2932,9826
21,-2891516,-9345661,2466622,10088928,-3395,-8843,2816,9892
40,-3449815,-8623387,2616106,9649251,-3367,-8830,2737,9847
60,-3451653,-8847734,2545084,9832282,-3339,-8873,2640,9849
80,-3235266,-9097698,2559574,9989318,-3257,-8979,2547,9890
100,-3339921,-9030508,2755937,10015006,-3369,-8900,2619,9871
119,-3160557,-9122100,2554891,9986456,-3297,-9025,2604,9956
140,-3134815,-9111144,1991851,9839079,-3218,-9090,2466,9957
159,-3318507,-8942488,1786103,9704161,-3238,-9052,2272,9886
179,-3320346,-8910789,1824966,9682838,-3234,-9022,2039,9803
199,-3255262,-8994882,2050596,9783127,-3257,-8990,1913,9752
219,-2993537,-9037020,1988270,9725338,-3222,-8971,1912,9724
239,-2938318,-9007437,1526783,9596806,-3127,-8988,1848,9697
258,-3425509,-8605852,1117872,9329761,-3153,-8911,1671,9609
279,-3395390,-8585273,1391807,9336633,-3188,-8809,1506,9497
298,-2473287,-9187145,1701367,9665166,-3058,-8846,1434,9482
318,-2971903,-9192863,1807756,9828984,-3067,-8893,1505,9540
338,-3677034,-9110474,2373401,10107144,-3129,-9019,1819,9734
358,-4143128,-9046558,148709,9951273,-3316,-9134,1508,9888
377,-3392191,-8412555,2171474,9327022,-3546,-8941,1625,9804
399,-3334414,-8657309,2102138,9512428,-3637,-8807,1699,9724
418,-3557448,-9538901,2136117,10402359,-3607,-8914,1640,9798
437,-4271476,-9234647,3525644,10768212,-3639,-8961,2484,10003
457,-4085992,-9392587,2825292,10625361,-3812,-9206,2647,10327
477,-3504680,-9282474,1874804,10097623,-3855,-9362,2590,10473
496,-3617074,-8942669,504286,9659651,-3870,-9213,2183,10288
517,-4063525,-8808765,860131,9738912,-3818,-9107,1516,10030
536,-3997225,-8873878,1606347,9864273,-3796,-8977,1211,9840
557,-3456768,-9127741,2349574,10039192,-3784,-8938,1330,9826
576,-3040493,-9457048,2779802,10315409,-3640,-9067,1899,9989
596,-4022776,-9047334,2998537,10345443,-3629,-9126,2434,10141
616,-4431112,-8544408,2438801,9929220,-3738,-9044,2642,10157
636,-4521996,-8433230,1662447,9712443,-4004,-8871,2470,10076
656,-4404345,-8555220,1406402,9724608,-4345,-8645,2127,9928
675,-4232776,-8804581,1428955,9873143,-4398,-8584,1734,9810
695,-4798057,-8801957,1426235,10125707,-4489,-8649,1481,9859
715,-3330909,-9196646,1828279,9950671,-4192,-8840,1522,9919
736,-3280210,-9165990,1366237,9830653,-3910,-8992,1512,9945
754,-3519132,-8931904,1293549,9686923,-3732,-9024,1479,9898
775,-3383802,-8813957,1487326,9557620,-3379,-9027,1494,9756
794,-3084862,-9132740,1334337,9731586,-3317,-9011,1370,9702
815,-3488811,-9036531,1683967,9831910,-3369,-8979,1450,9702
834,-3886565,-8585512,1507801,9544102,-3461,-8892,1503,9666
854,-4013065,-8824587,1027189,9748494,-3618,-8895,1388,9714
874,-3915784,-8883676,899779,9750008,-3826,-8833,1280,9719
894,-3588420,-9396858,1724773,10205515,-3851,-8923,1290,9812
914,-3957271,-9209393,-1329912,10111457,-3869,-9079,580,9954
934,-3812891,-9680687,2916396,10805517,-3819,-9293,1053,10218
953,-4522130,-9207209,1187773,10326333,-3970,-9374,1125,10362
974,-4655850,-9092737,1256918,10292456,-4237,-9298,1008,10384
993,-4374024,-9189397,1625098,10306214,-4341,-9293,1747,10433
1013,-3697902,-9275654,1820072,10150118,-4312,-9191,1472,10269
1035,-3397420,-8990343,1308153,9699485,-4031,-9137,1503,10112
1053,-3736985,-8574078,1139391,9422212,-3802,-9007,1473,9895
1073,-4173792,-8171707,278723,9180143,-3752,-8753,1137,9613
1092,-4221782,-8219534,94571,9240840,-3882,-8489,705,9386
1112,-4226379,-8526337,380190,9523930,-4090,-8373,473,9342
1135,-4097782,-8746737,681466,9683059,-4180,-8416,359,9407
1152,-3997082,-8890293,672828,9770705,-4136,-8596,457,9555
1172,-4146527,-8987709,331166,9903650,-4117,-8788,516,9720
1192,-4430709,-8969445,647967,10025069,-4168,-8899,583,9846
1211,-4536284,-8845953,210958,9943503,-4278,-8923,466,9911
1231,-4249421,-9297978,841322,10257573,-4341,-9025,508,10032
1251,-3773338,-9467593,939964,10235084,-4247,-9145,660,10115
1272,-3400916,-9522689,725319,10137747,-3990,-9284,679,10143
1291,-3481773,-9338096,819181,9999691,-3726,-9407,831,10158
1311,-3775780,-9036484,822581,9828082,-3608,-9341,827,10050
1331,-3730540,-9059257,876967,9836470,-3597,-9239,811,9950
1350,-3643802,-9127329,793687,9859786,-3658,-9140,828,9881
1371,-3689599,-9104757,513642,9837356,-3710,-9082,752,9840
1390,-3849139,-9025393,589433,9829600,-3728,-9079,693,9841
1410,-3934152,-8848960,619284,9703874,-3779,-9027,629,9808
1429,-3896621,-8957868,480919,9780508,-3842,-8984,551,9788
1450,-3770600,-8904677,504123,9683225,-3863,-8934,548,9749
1469,-3763532,-9001634,593073,9774729,-3841,-8928,549,9736
1489,-3745116,-9059257,708703,9828442,-3794,-8981,572,9767
1510,-4019338,-8965471,737768,9852870,-3825,-8983,636,9785
1529,-4173190,-8940073,708636,9891541,-3925,-8992,687,9837
1549,-4002310,-9061737,733143,9933331,-3985,-9007,722,9877
1569,-3946698,-9015290,460913,9852123,-4035,-8996,660,9882
1589,-3782848,-8963442,588131,9746750,-3976,-8995,623,9856
1608,-3920151,-8955291,828145,9810741,-3913,-8999,653,9836
1629,-3910564,-9043810,930847,9896943,-3890,-8994,702,9827
1648,-3860468,-9101625,956915,9932698,-3869,-9016,826,9847
1669,-3942771,-8969110,765177,9827303,-3908,-9017,870,9867
1688,-3865831,-8834681,719525,9670261,-3895,-8987,843,9832
1708,-3840376,-8850032,569849,9664175,-3877,-8939,753,9774
1728,-3797108,-8992536,645927,9782686,-3862,-8912,675,9736
1749,-3902529,-8958068,838574,9807136,-3851,-8909,693,9731
1767,-3737473,-9120597,768137,9886558,-3819,-8980,706,9785
1787,-3834199,-9278882,798208,10071537,-3818,-9088,763,9887
1807,-3844791,-9169965,728603,9970032,-3830,-9132,783,9934
1827,-3829928,-9131859,590659,9920084,-3812,-9175,721,9962
1850,-3816003,-8930095,654374,9733277,-3831,-9128,693,9924
1866,-3840692,-8957331,609200,9765030,-3833,-9047,646,9847
1887,-3904656,-8866160,725721,9715030,-3848,-8971,645,9783
1907,-4253615,-8903768,603655,9886087,-3954,-8914,648,9775
1926,-4519678,-8639362,345579,9756305,-4130,-8842,571,9781
1946,-4578049,-8755509,604316,9898620,-4314,-8791,570,9814
1966,-4326189,-8991616,878691,10016844,-4419,-8823,608,9889
1986,-3856427,-9129704,943593,9955596,-4320,-8879,693,9907
2006,-3849043,-8999727,861328,9826094,-4152,-8969,822,9924
2025,-4121015,-8904937,756941,9841423,-4038,-9006,860,9910
2046,-4211286,-8846020,751904,9826106,-4009,-8970,828,9862
2066,-4037275,-8888579,949732,9808589,-4055,-8910,830,9826
2086,-3701819,-9059209,962670,9833589,-4018,-8925,855,9827
2105,-3706626,-9023967,796273,9788008,-3914,-8954,865,9814
2125,-3862106,-8964141,642211,9781826,-3827,-8984,838,9803
2151,-4201958,-8852686,664918,9821844,-3868,-8975,767,9806
2166,-4211209,-8893866,931862,9884508,-3995,-8934,759,9819
2184,-4044487,-9211020,1106217,10120498,-4080,-8980,836,9902
2204,-3905901,-9181572,1284499,10060182,-4091,-9035,997,9972
2230,-3927535,-9080527,802000,9925961,-4022,-9092,1031,9998
2244,-3915420,-8883054,440945,9717695,-3948,-9089,908,9956
2264,-3984727,-8718017,190224,9587390,-3933,-8966,679,9823
2283,-4117568,-8623924,407493,9565170,-3986,-8826,460,9699
2309,-4094918,-8895015,623220,9812137,-4028,-8780,415,9671
2324,-4036030,-9126725,551615,9994545,-4058,-8841,443,9740
2343,-3874010,-9291657,823624,10100555,-4031,-8984,601,9868
2363,-4104150,-9132615,994532,10061700,-4027,-9111,748,9992
2390,-4174635,-9031198,881277,9988331,-4047,-9146,813,10036
2403,-4094593,-8938953,783488,9863287,-4062,-9099,871,10003
2423,-3979757,-8932681,879974,9818636,-4088,-9009,885,9933
2443,-3980408,-8950350,954271,9841903,-4057,-8963,875,9878
2462,-3926328,-8868430,974775,9747579,-3995,-8923,898,9818
2483,-4177863,-8863459,812219,9832351,-4016,-8904,905,9810
2502,-4167203,-8953233,952155,9921319,-4063,-8909,923,9836
2522,-4162205,-8937766,967698,9906768,-4108,-8906,927,9852
2543,-4333160,-8799467,818242,9842582,-4210,-8888,888,9876
2563,-4591897,-8482676,859959,9684051,-4314,-8793,900,9839
2581,-4415215,-8579487,882646,9689210,-4376,-8700,882,9781
2601,-4120651,-8763065,815245,9717803,-4365,-8656,844,9733
2625,-3850528,-8920767,613213,9735639,-4245,-8686,793,9707
2641,-3645258,-8962828,319636,9681031,-4008,-8807,658,9706
2661,-3925092,-8622210,161197,9474958,-3885,-8817,477,9652
2680,-4146633,-8615544,149954,9562670,-3892,-8780,311,9614
2705,-4202255,-8699236,210039,9663320,-3980,-8725,210,9595
2720,-4235745,-8787860,540860,9770391,-4127,-8681,266,9618
2740,-4238235,-8898318,605743,9874696,-4206,-8750,377,9718
2761,-4069741,-9077846,514753,9961679,-4186,-8866,468,9818
2789,-3888241,-9124187,232199,9920843,-4108,-8972,473,9882
2800,-3878253,-9126716,203785,9918634,-4019,-9057,389,9919
2820,-4096699,-8974617,327469,9870863,-3983,-9076,320,9918
2840,-4057348,-8963691,652133,9860786,-3980,-9047,354,9893
2866,-4107588,-9035037,897663,9965439,-4035,-9025,520,9904
2881,-3900681,-9078630,934945,9925269,-4041,-9013,703,9906
2899,-3880829,-8989040,715024,9817074,-3987,-9017,800,9892
2919,-4160615,-8924482,450617,9856985,-4012,-9007,750,9891
2945,-4299823,-8767710,452121,9775767,-4060,-8940,638,9844
2961,-4273506,-8889834,270487,9867379,-4154,-8893,472,9829
2978,-4045166,-9062436,224729,9926813,-4195,-8911,349,9857
2998,-4065508,-9173623,249916,10037240,-4171,-8973,299,9902
3022,-4163201,-9184952,409849,10092748,-4137,-9078,289,9981
3038,-4187794,-8944699,345330,9882536,-4115,-9091,307,9985
3058,-4188560,-8907292,143710,9844011,-4151,-9053,287,9964
3077,-4278419,-8585712,78913,9592995,-4204,-8906,244,9853
3103,-4378554,-8722546,197158,9761834,-4258,-8790,191,9770
3117,-4412964,-8907953,556240,9956670,-4315,-8781,244,9789
3138,-4382462,-8970662,865332,10021355,-4363,-8797,424,9833
3157,-4355867,-8906536,1313229,10001226,-4382,-8877,733,9935
3182,-4599281,-8945810,1169702,10126653,-4438,-8933,976,10026
3197,-4646159,-8870115,831315,10047728,-4496,-8923,1045,10049
3217,-4676316,-8729049,592431,9920444,-4569,-8863,977,10024
3236,-4608359,-8689343,820253,9869878,-4633,-8809,853,9991
3259,-4217348,-8872691,832627,9859206,-4537,-8790,769,9924
3276,-4189978,-8920805,618978,9875212,-4423,-8803,716,9881
3296,-4189240,-8840139,381329,9789954,-4301,-8831,663,9849
3316,-4179098,-8752253,219788,9701294,-4194,-8846,513,9806
3338,-4375643,-8764129,437066,9805469,-4233,-8819,414,9793
3355,-4409210,-8947285,515816,9988048,-4288,-8826,388,9821
3375,-4339510,-8913536,664879,9936022,-4326,-8844,459,9858
3395,-4265903,-8943062,791322,9939943,-4348,-8892,602,9917
3419,-4101995,-9071410,589625,9973189,-4279,-8969,640,9959
3435,-4208910,-8965471,530641,9918477,-4229,-8973,644,9942
3455,-4411920,-8910031,606614,9961008,-4247,-8972,630,9948
3475,-4436178,-9058529,707994,10111275,-4290,-9001,609,9991
3500,-4310693,-9289043,583285,10257126,-4342,-9056,607,10062
3515,-4257915,-9220291,689798,10179363,-4354,-9119,647,10127
3534,-4486475,-9105628,864489,10187652,-4373,-9168,711,10184
3554,-4544856,-8922606,1102587,10073942,-4400,-9134,810,10175
3582,-4299393,-9038486,850909,10045051,-4397,-9072,877,10122
3595,-3504939,-9436603,21759,10066506,-4209,-9126,710,10093
3613,-3390822,-9341103,-144045,9938542,-3935,-9185,458,10031
3634,-3762392,-8981637,-54798,9737987,-3739,-9199,168,9947
3658,-4415310,-8658602,191460,9721265,-3768,-9104,4,9866
3675,-4687071,-8498075,199839,9707000,-4064,-8870,48,9776
3693,-4822008,-8455611,57949,9734089,-4422,-8648,99,9725
3713,-4692530,-8392615,-12277,9615403,-4654,-8501,109,9694
