Time(s)	X	Y	Z	|V|	MAx	MAy	MAz	MAv
0,000	-3,563223	-8,675007	2,931882	9,825896	-3,563	-8,675	2,932	9,826
0,021	-2,891516	-9,345661	2,466622	10,088928	-3,395	-8,843	2,816	9,892
0,040	-3,449815	-8,623387	2,616106	9,649251	-3,367	-8,830	2,737	9,847
0,060	-3,451653	-8,847734	2,545084	9,832282	-3,339	-8,873	2,640	9,849
0,080	-3,235266	-9,097698	2,559574	9,989318	-3,257	-8,979	2,547	9,890
0,100	-3,339921	-9,030508	2,755937	10,015006	-3,369	-8,900	2,619	9,871
0,119	-3,160557	-9,122100	2,554891	9,986456	-3,297	-9,025	2,604	9,956
0,140	-3,134815	-9,111144	1,991851	9,839079	-3,218	-9,090	2,466	9,957
0,159	-3,318507	-8,942488	1,786103	9,704161	-3,238	-9,052	2,272	9,886
0,179	-3,320346	-8,910789	1,824966	9,682838	-3,234	-9,022	2,039	9,803
0,199	-3,255262	-8,994882	2,050596	9,783127	-3,257	-8,990	1,913	9,752
0,219	-2,993537	-9,037020	1,988270	9,725338	-3,222	-8,971	1,912	9,724
0,239	-2,938318	-9,007437	1,526783	9,596806	-3,127	-8,988	1,848	9,697
0,258	-3,425509	-8,605852	1,117872	9,329761	-3,153	-8,911	1,671	9,609
0,279	-3,395390	-8,585273	1,391807	9,336633	-3,188	-8,809	1,506	9,497
0,298	-2,473287	-9,187145	1,701367	9,665166	-3,058	-8,846	1,434	9,482
0,318	-2,971903	-9,192863	1,807756	9,828984	-3,067	-8,893	1,505	9,540
0,338	-3,677034	-9,110474	2,373401	10,107144	-3,129	-9,019	1,819	9,734
0,358	-4,143128	-9,046558	0,148709	9,951273	-3,316	-9,134	1,508	9,888
0,377	-3,392191	-8,412555	2,171474	9,327022	-3,546	-8,941	1,625	9,804
0,399	-3,334414	-8,657309	2,102138	9,512428	-3,637	-8,807	1,699	9,724
0,418	-3,557448	-9,538901	2,136117	10,402359	-3,607	-8,914	1,640	9,798
0,437	-4,271476	-9,234647	3,525644	10,768212	-3,639	-8,961	2,484	10,003
0,457	-4,085992	-9,392587	2,825292	10,625361	-3,812	-9,206	2,647	10,327
0,477	-3,504680	-9,282474	1,874804	10,097623	-3,855	-9,362	2,590	10,473
0,496	-3,617074	-8,942669	0,504286	9,659651	-3,870	-9,213	2,183	10,288
0,517	-4,063525	-8,808765	0,860131	9,738912	-3,818	-9,107	1,516	10,030
0,536	-3,997225	-8,873878	1,606347	9,864273	-3,796	-8,977	1,211	9,840
0,557	-3,456768	-9,127741	2,349574	10,039192	-3,784	-8,938	1,330	9,826
0,576	-3,040493	-9,457048	2,779802	10,315409	-3,640	-9,067	1,899	9,989
